Log_Cooling_Rate,Temperature_K,Ico_Fraction,Distorted_Frac,Free_Volume,Yield_Strength_GPa
9.00,300,0.420,0.150,0.040,2.65
9.10,300,0.415,0.152,0.042,2.62
9.25,300,0.408,0.155,0.045,2.58
9.50,300,0.395,0.158,0.048,2.51
9.75,300,0.385,0.160,0.051,2.45
10.00,300,0.372,0.162,0.055,2.38
10.25,300,0.360,0.165,0.058,2.32
10.50,300,0.348,0.168,0.062,2.25
10.75,300,0.335,0.170,0.066,2.18
11.00,300,0.322,0.172,0.070,2.10
11.25,300,0.310,0.175,0.075,2.03
11.50,300,0.298,0.178,0.079,1.95
11.75,300,0.285,0.180,0.084,1.88
12.00,300,0.272,0.182,0.089,1.80
12.25,300,0.260,0.185,0.095,1.72
12.50,300,0.248,0.188,0.100,1.65
12.75,300,0.235,0.190,0.106,1.58
13.00,300,0.222,0.192,0.112,1.50
9.00,100,0.425,0.148,0.038,2.85
9.50,100,0.400,0.155,0.046,2.70
10.00,100,0.378,0.160,0.053,2.55
10.50,100,0.355,0.165,0.060,2.42
11.00,100,0.330,0.170,0.068,2.28
11.50,100,0.305,0.175,0.077,2.12
12.00,100,0.280,0.180,0.087,1.98
12.50,100,0.255,0.185,0.098,1.82
13.00,100,0.230,0.190,0.110,1.68
9.00,500,0.410,0.152,0.042,2.45
9.50,500,0.385,0.160,0.050,2.32
10.00,500,0.362,0.165,0.057,2.18
10.50,500,0.338,0.170,0.065,2.05
11.00,500,0.315,0.175,0.072,1.92
11.50,500,0.292,0.180,0.081,1.78
12.00,500,0.268,0.185,0.091,1.65
12.50,500,0.245,0.190,0.102,1.52
13.00,500,0.220,0.195,0.115,1.38
10.00,200,0.375,0.161,0.054,2.46
10.00,250,0.374,0.161,0.054,2.42
10.00,350,0.370,0.163,0.056,2.34
10.00,400,0.368,0.164,0.056,2.29
10.00,450,0.365,0.164,0.057,2.24
12.00,200,0.275,0.181,0.088,1.88
12.00,250,0.274,0.181,0.088,1.84
12.00,350,0.270,0.183,0.090,1.76
12.00,400,0.268,0.184,0.090,1.72
12.00,450,0.265,0.184,0.091,1.68
11.12,320,0.318,0.174,0.072,2.05
11.85,280,0.282,0.180,0.085,1.92
9.85,310,0.380,0.162,0.052,2.41
12.85,290,0.230,0.191,0.108,1.55
